ID	B1	B2	B3	B4	B5	B6	B7	NDII
50	0.0485	0.3489	0.0289	0.0870	0.3363	0.2124	0.0837	0.243
51	0.0666	0.3760	0.0415	0.1107	0.3683	0.2499	0.1132	0.201
52	0.0652	0.3443	0.0387	0.1020	0.3410	0.2283	0.1043	0.203
53	0.0569	0.3454	0.0328	0.0933	0.3595	0.2640	0.1242	0.134
54	0.0694	0.3683	0.0416	0.1089	0.3925	0.3135	0.1688	0.080
55	0.0716	0.3590	0.0439	0.1115	0.3581	0.2476	0.1172	0.184
56	0.0589	0.3478	0.0343	0.0964	0.3583	0.2586	0.1203	0.147
57	0.0680	0.3756	0.0415	0.1106	0.3937	0.3080	0.1615	0.099
58	0.0671	0.3749	0.0416	0.1106	0.3733	0.2612	0.1216	0.179
59	0.0538	0.3324	0.0305	0.0838	0.3578	0.2754	0.1358	0.094
60	0.0619	0.3717	0.0374	0.1042	0.3800	0.2791	0.1339	0.142
61	0.0580	0.3197	0.0330	0.0891	0.3199	0.2117	0.0954	0.203
62	0.0517	0.3393	0.0302	0.0877	0.3341	0.2176	0.0904	0.219
63	0.0562	0.3442	0.0325	0.0921	0.3544	0.2537	0.1164	0.151
64	0.0530	0.3152	0.0302	0.0825	0.3178	0.2109	0.0927	0.198
65	0.0564	0.3305	0.0319	0.0869	0.3476	0.2535	0.1201	0.132
66	0.0597	0.3372	0.0350	0.0951	0.3308	0.2153	0.0950	0.221
67	0.0702	0.3632	0.0429	0.1109	0.3701	0.2674	0.1295	0.152
68	0.0724	0.3685	0.0447	0.1134	0.3717	0.2647	0.1286	0.164
69	0.0622	0.3598	0.0375	0.1023	0.3576	0.2440	0.1100	0.192
70	0.0566	0.3475	0.0333	0.0934	0.3455	0.2316	0.1014	0.200
71	0.0577	0.3275	0.0331	0.0905	0.3283	0.2192	0.0978	0.198
72	0.0685	0.3641	0.0406	0.1074	0.3962	0.3325	0.1898	0.045
73	0.0600	0.3445	0.0359	0.0999	0.3333	0.2133	0.0893	0.235
74	0.0596	0.3213	0.0339	0.0909	0.3243	0.2183	0.0996	0.191
75	0.0657	0.3370	0.0387	0.1010	0.3348	0.2242	0.1034	0.201
76	0.0665	0.3767	0.0402	0.1089	0.4038	0.3357	0.1898	0.058
77	0.0565	0.3273	0.0324	0.0887	0.3278	0.2181	0.0970	0.200
78	0.0485	0.3414	0.0288	0.0860	0.3269	0.2023	0.0784	0.256
79	0.0683	0.3674	0.0427	0.1115	0.3562	0.2358	0.1052	0.218
80	0.0565	0.3299	0.0324	0.0907	0.3343	0.2281	0.1007	0.182
81	0.0498	0.3274	0.0289	0.0814	0.3295	0.2200	0.0940	0.196
82	0.0657	0.3566	0.0390	0.1033	0.3678	0.2681	0.1301	0.142
83	0.0614	0.3272	0.0354	0.0951	0.3287	0.2211	0.1000	0.194
84	0.0717	0.3487	0.0431	0.1088	0.3526	0.2470	0.1189	0.171
85	0.0519	0.3251	0.0298	0.0818	0.3317	0.2265	0.1004	0.179
86	0.0620	0.3465	0.0363	0.0981	0.3533	0.2487	0.1158	0.164
87	0.0532	0.3245	0.0307	0.0854	0.3221	0.2098	0.0901	0.215
88	0.0628	0.3532	0.0379	0.1021	0.3453	0.2276	0.1006	0.216
89	0.0631	0.3515	0.0365	0.0985	0.3780	0.2992	0.1560	0.080
90	0.0561	0.3429	0.0337	0.0964	0.3230	0.1962	0.0774	0.272
91	0.0648	0.3755	0.0390	0.1055	0.3934	0.3043	0.1569	0.105
92	0.0608	0.3515	0.0367	0.1010	0.3400	0.2192	0.0934	0.232
93	0.0585	0.3401	0.0342	0.0958	0.3414	0.2319	0.1017	0.189
94	0.0672	0.3714	0.0408	0.1087	0.3869	0.2959	0.1505	0.113
95	0.0582	0.3438	0.0335	0.0926	0.3599	0.2654	0.1267	0.129
96	0.0604	0.3346	0.0355	0.0968	0.3295	0.2155	0.0940	0.217
97	0.0636	0.3518	0.0377	0.1018	0.3595	0.2565	0.1204	0.157
98	0.0511	0.3328	0.0300	0.0875	0.3212	0.2006	0.0798	0.248
99	0.0579	0.3297	0.0338	0.0943	0.3224	0.2067	0.0872	0.229
100	0.0629	0.3653	0.0375	0.1021	0.3795	0.2842	0.1402	0.125
101	0.0617	0.3644	0.0378	0.1048	0.3567	0.2383	0.1033	0.209
102	0.0484	0.3497	0.0283	0.0819	0.3728	0.2905	0.1437	0.092
103	0.0712	0.3592	0.0420	0.1083	0.3933	0.3306	0.1891	0.041
104	0.0742	0.3544	0.0447	0.1114	0.3685	0.2734	0.1381	0.129
