ID	B1	B2	B3	B4	B5	B6	B7	NDII
2321	0.0779	0.2722	0.0417	0.0712	0.3231	0.2808	0.1787	-0.015
2322	0.0602	0.2753	0.0346	0.0601	0.3118	0.2502	0.1395	0.048
2323	0.0425	0.2784	0.0275	0.0489	0.3005	0.2195	0.1004	0.118
2324	0.0981	0.2683	0.0498	0.0840	0.3366	0.3170	0.2236	-0.083
2325	0.0816	0.2709	0.0432	0.0736	0.3264	0.2892	0.1874	-0.033
2326	0.0651	0.2735	0.0366	0.0632	0.3163	0.2614	0.1512	0.023
2327	0.0486	0.2762	0.0300	0.0529	0.3061	0.2335	0.1149	0.084
2328	0.1008	0.2674	0.0509	0.0858	0.3389	0.3230	0.2301	-0.094
2329	0.0857	0.2697	0.0448	0.0763	0.3299	0.2981	0.1971	-0.050
2330	0.0706	0.2719	0.0388	0.0668	0.3209	0.2732	0.1641	-0.002
2331	0.0556	0.2741	0.0327	0.0573	0.3119	0.2484	0.1311	0.049
2332	0.0684	0.2134	0.0359	0.0609	0.2553	0.2299	0.1552	-0.037
2333	0.0558	0.2261	0.0314	0.0539	0.2556	0.2118	0.1270	0.033
2334	0.0432	0.2388	0.0268	0.0469	0.2558	0.1937	0.0989	0.104
2335	0.0306	0.2516	0.0223	0.0400	0.2560	0.1755	0.0707	0.178
2336	0.0698	0.2107	0.0364	0.0617	0.2551	0.2327	0.1587	-0.050
2337	0.0579	0.2221	0.0321	0.0551	0.2552	0.2159	0.1322	0.014
2338	0.0461	0.2335	0.0278	0.0486	0.2552	0.1992	0.1058	0.079
2339	0.0342	0.2450	0.0235	0.0420	0.2553	0.1824	0.0794	0.146
2340	0.0715	0.2081	0.0370	0.0626	0.2549	0.2357	0.1626	-0.062
2341	0.0604	0.2182	0.0330	0.0565	0.2549	0.2204	0.1381	-0.005
2342	0.0493	0.2283	0.0290	0.0504	0.2548	0.2051	0.1136	0.053
2343	0.0383	0.2384	0.0250	0.0443	0.2548	0.1899	0.0892	0.113
2344	0.0733	0.2055	0.0377	0.0636	0.2547	0.2388	0.1669	-0.075
2345	0.0632	0.2143	0.0340	0.0581	0.2546	0.2252	0.1446	-0.025
2346	0.0531	0.2231	0.0304	0.0525	0.2545	0.2115	0.1223	0.027
2347	0.0429	0.2319	0.0267	0.0469	0.2544	0.1978	0.1001	0.079
2348	0.0900	0.2727	0.0466	0.0787	0.3218	0.2856	0.2000	-0.023
2349	0.0695	0.2775	0.0384	0.0656	0.3042	0.2421	0.1520	0.068
2350	0.0490	0.2823	0.0302	0.0526	0.2866	0.1986	0.1040	0.174
2351	0.0285	0.2871	0.0220	0.0396	0.2691	0.1550	0.0559	0.299
2352	0.0916	0.2716	0.0472	0.0797	0.3241	0.2903	0.2040	-0.033
2353	0.0719	0.2759	0.0393	0.0672	0.3077	0.2491	0.1579	0.051
2354	0.0522	0.2801	0.0314	0.0547	0.2913	0.2079	0.1118	0.148
2355	0.0325	0.2844	0.0235	0.0422	0.2749	0.1667	0.0657	0.261
2356	0.0934	0.2705	0.0480	0.0809	0.3266	0.2955	0.2085	-0.044
2357	0.0747	0.2743	0.0404	0.0690	0.3114	0.2570	0.1648	0.033
2358	0.0559	0.2781	0.0329	0.0571	0.2962	0.2184	0.1210	0.120
2359	0.0371	0.2818	0.0254	0.0452	0.2811	0.1798	0.0772	0.221
2360	0.0956	0.2695	0.0488	0.0823	0.3292	0.3013	0.2138	-0.056
2361	0.0779	0.2728	0.0417	0.0711	0.3153	0.2656	0.1727	0.013
2362	0.0602	0.2761	0.0346	0.0599	0.3015	0.2299	0.1315	0.091
2363	0.0425	0.2794	0.0275	0.0487	0.2876	0.1941	0.0904	0.180
2364	0.0980	0.2686	0.0498	0.0839	0.3319	0.3075	0.2198	-0.068
2365	0.0815	0.2714	0.0432	0.0735	0.3195	0.2749	0.1816	-0.006
2366	0.0651	0.2742	0.0366	0.0631	0.3070	0.2423	0.1434	0.062
2367	0.0486	0.2770	0.0300	0.0527	0.2945	0.2097	0.1053	0.138
2368	0.0661	0.2191	0.0351	0.0594	0.2501	0.2147	0.1456	0.010
2369	0.0523	0.2348	0.0301	0.0518	0.2477	0.1889	0.1126	0.108
2370	0.0385	0.2504	0.0251	0.0441	0.2454	0.1632	0.0796	0.211
2371	0.0248	0.2660	0.0202	0.0364	0.2430	0.1374	0.0466	0.319
2372	0.0671	0.2165	0.0355	0.0600	0.2502	0.2174	0.1482	-0.002
2373	0.0539	0.2307	0.0307	0.0527	0.2479	0.1930	0.1166	0.089
2374	0.0407	0.2450	0.0259	0.0453	0.2455	0.1686	0.0850	0.185
2375	0.0274	0.2593	0.0211	0.0379	0.2432	0.1442	0.0534	0.285
2376	0.0684	0.2138	0.0359	0.0608	0.2504	0.2204	0.1514	-0.015
2377	0.0557	0.2267	0.0313	0.0538	0.2481	0.1975	0.1213	0.069
2378	0.0431	0.2396	0.0268	0.0467	0.2459	0.1746	0.0913	0.157
2379	0.0305	0.2526	0.0222	0.0397	0.2436	0.1517	0.0612	0.249
2380	0.0698	0.2111	0.0364	0.0616	0.2506	0.2237	0.1550	-0.029
2381	0.0579	0.2227	0.0321	0.0550	0.2485	0.2025	0.1267	0.047
2382	0.0460	0.2342	0.0278	0.0484	0.2463	0.1813	0.0985	0.127
2383	0.0341	0.2458	0.0235	0.0418	0.2441	0.1600	0.0702	0.211
2384	0.0714	0.2084	0.0370	0.0625	0.2509	0.2274	0.1591	-0.044
2385	0.0604	0.2186	0.0330	0.0564	0.2489	0.2079	0.1328	0.025
2386	0.0493	0.2289	0.0290	0.0503	0.2468	0.1885	0.1066	0.097
2387	0.0382	0.2392	0.0250	0.0441	0.2448	0.1691	0.0804	0.172
2388	0.0933	0.2782	0.0479	0.0806	0.3427	0.3184	0.2188	-0.067
2389	0.0745	0.2858	0.0404	0.0686	0.3357	0.2912	0.1801	-0.009
2390	0.0557	0.2934	0.0329	0.0565	0.3286	0.2640	0.1414	0.053
2391	0.0369	0.3010	0.0253	0.0445	0.3215	0.2369	0.1027	0.119
2392	0.0955	0.2764	0.0488	0.0820	0.3439	0.3229	0.2238	-0.078
2393	0.0777	0.2830	0.0417	0.0707	0.3374	0.2980	0.1876	-0.026
2394	0.0600	0.2897	0.0346	0.0594	0.3309	0.2731	0.1514	0.030
2395	0.0422	0.2964	0.0275	0.0480	0.3244	0.2482	0.1152	0.089
2396	0.0980	0.2746	0.0498	0.0836	0.3451	0.3277	0.2293	-0.088
2397	0.0814	0.2804	0.0432	0.0731	0.3392	0.3051	0.1960	-0.042
2398	0.0649	0.2862	0.0365	0.0626	0.3334	0.2826	0.1626	0.006
2399	0.0484	0.2920	0.0299	0.0520	0.3275	0.2601	0.1292	0.058
2400	0.1007	0.2729	0.0509	0.0854	0.3464	0.3327	0.2355	-0.099
2401	0.0856	0.2779	0.0448	0.0758	0.3412	0.3126	0.2052	-0.059
2402	0.0705	0.2829	0.0388	0.0662	0.3360	0.2926	0.1749	-0.017
2403	0.0553	0.2878	0.0327	0.0566	0.3307	0.2726	0.1446	0.027
2404	0.1038	0.2713	0.0521	0.0874	0.3478	0.3379	0.2422	-0.109
2405	0.0902	0.2755	0.0467	0.0788	0.3432	0.3205	0.2153	-0.075
2406	0.0767	0.2797	0.0412	0.0702	0.3387	0.3030	0.1884	-0.040
2407	0.0631	0.2838	0.0358	0.0616	0.3341	0.2856	0.1614	-0.003
2408	0.0683	0.2207	0.0359	0.0605	0.2646	0.2407	0.1608	-0.043
2409	0.0556	0.2371	0.0313	0.0533	0.2694	0.2280	0.1355	0.020
2410	0.0430	0.2535	0.0268	0.0462	0.2742	0.2153	0.1102	0.081
2411	0.0303	0.2699	0.0222	0.0390	0.2790	0.2025	0.0849	0.143
2412	0.0697	0.2172	0.0364	0.0613	0.2634	0.2427	0.1641	-0.056
2413	0.0578	0.2318	0.0321	0.0546	0.2676	0.2310	0.1404	0.002
2414	0.0458	0.2465	0.0278	0.0479	0.2718	0.2193	0.1167	0.058
2415	0.0339	0.2611	0.0235	0.0411	0.2760	0.2075	0.0930	0.114
2416	0.0714	0.2137	0.0370	0.0623	0.2622	0.2449	0.1677	-0.068
2417	0.0603	0.2267	0.0330	0.0560	0.2658	0.2342	0.1458	-0.016
2418	0.0491	0.2396	0.0290	0.0498	0.2695	0.2235	0.1240	0.035
2419	0.0380	0.2525	0.0250	0.0435	0.2731	0.2129	0.1021	0.085
2420	0.0732	0.2103	0.0377	0.0633	0.2611	0.2471	0.1717	-0.080
2421	0.0631	0.2216	0.0340	0.0576	0.2642	0.2376	0.1519	-0.035
2422	0.0529	0.2328	0.0303	0.0519	0.2673	0.2281	0.1320	0.010
2423	0.0427	0.2440	0.0266	0.0462	0.2703	0.2185	0.1121	0.055
2424	0.0753	0.2070	0.0384	0.0645	0.2601	0.2495	0.1761	-0.093
2425	0.0662	0.2166	0.0351	0.0594	0.2626	0.2412	0.1584	-0.054
2426	0.0570	0.2261	0.0318	0.0543	0.2652	0.2328	0.1408	-0.015
2427	0.0479	0.2357	0.0285	0.0492	0.2678	0.2245	0.1231	0.024
2428	0.0933	0.2759	0.0479	0.0805	0.3406	0.3167	0.2178	-0.069
2429	0.0745	0.2823	0.0404	0.0684	0.3324	0.2887	0.1786	-0.011
2430	0.0557	0.2888	0.0329	0.0563	0.3242	0.2607	0.1394	0.051
2431	0.0368	0.2952	0.0253	0.0442	0.3161	0.2326	0.1002	0.119
2432	0.0955	0.2743	0.0488	0.0819	0.3419	0.3213	0.2228	-0.079
2433	0.0777	0.2800	0.0417	0.0705	0.3344	0.2956	0.1861	-0.027
2434	0.0600	0.2856	0.0346	0.0592	0.3270	0.2699	0.1495	0.028
2435	0.0422	0.2913	0.0275	0.0478	0.3195	0.2442	0.1128	0.088
2436	0.0979	0.2728	0.0498	0.0835	0.3434	0.3262	0.2284	-0.089
2437	0.0814	0.2777	0.0431	0.0730	0.3366	0.3029	0.1946	-0.043
2438	0.0649	0.2826	0.0365	0.0624	0.3299	0.2797	0.1607	0.005
2439	0.0483	0.2875	0.0299	0.0518	0.3231	0.2564	0.1269	0.057
2440	0.1007	0.2714	0.0509	0.0854	0.3449	0.3313	0.2346	-0.099
2441	0.0856	0.2756	0.0448	0.0757	0.3389	0.3107	0.2039	-0.060
2442	0.0704	0.2798	0.0387	0.0660	0.3329	0.2900	0.1731	-0.018
2443	0.0553	0.2840	0.0327	0.0563	0.3269	0.2693	0.1424	0.027
2444	0.1038	0.2700	0.0521	0.0874	0.3465	0.3367	0.2414	-0.110
2445	0.0902	0.2735	0.0467	0.0787	0.3413	0.3187	0.2141	-0.076
2446	0.0766	0.2770	0.0412	0.0700	0.3361	0.3007	0.1867	-0.041
2447	0.0630	0.2806	0.0358	0.0614	0.3308	0.2827	0.1594	-0.004
2448	0.0683	0.2186	0.0359	0.0604	0.2627	0.2392	0.1599	-0.045
2449	0.0556	0.2340	0.0313	0.0532	0.2665	0.2258	0.1341	0.018
2450	0.0429	0.2493	0.0267	0.0460	0.2704	0.2123	0.1083	0.080
2451	0.0303	0.2647	0.0222	0.0388	0.2742	0.1988	0.0825	0.142
2452	0.0697	0.2153	0.0364	0.0612	0.2617	0.2414	0.1632	-0.057
2453	0.0578	0.2291	0.0321	0.0544	0.2650	0.2289	0.1391	0.000
2454	0.0458	0.2428	0.0278	0.0477	0.2684	0.2165	0.1149	0.057
2455	0.0339	0.2565	0.0235	0.0409	0.2717	0.2041	0.0908	0.114
2456	0.0713	0.2121	0.0370	0.0622	0.2607	0.2436	0.1669	-0.069
2457	0.0602	0.2243	0.0330	0.0559	0.2636	0.2323	0.1446	-0.018
2458	0.0491	0.2364	0.0290	0.0496	0.2665	0.2210	0.1223	0.034
2459	0.0380	0.2485	0.0250	0.0433	0.2693	0.2097	0.1000	0.085
2460	0.0732	0.2090	0.0377	0.0633	0.2598	0.2460	0.1710	-0.081
2461	0.0630	0.2195	0.0340	0.0575	0.2622	0.2359	0.1507	-0.036
2462	0.0528	0.2300	0.0303	0.0517	0.2647	0.2258	0.1304	0.009
2463	0.0427	0.2406	0.0266	0.0460	0.2671	0.2157	0.1101	0.055
2464	0.0753	0.2059	0.0384	0.0645	0.2590	0.2485	0.1754	-0.094
2465	0.0662	0.2148	0.0351	0.0593	0.2610	0.2397	0.1574	-0.055
2466	0.0570	0.2238	0.0318	0.0541	0.2630	0.2308	0.1393	-0.015
2467	0.0479	0.2328	0.0285	0.0490	0.2650	0.2220	0.1213	0.024
2468	0.0914	0.2722	0.0472	0.0791	0.3261	0.2930	0.2049	-0.037
2469	0.0716	0.2768	0.0393	0.0662	0.3108	0.2532	0.1594	0.045
2470	0.0519	0.2814	0.0314	0.0534	0.2954	0.2134	0.1138	0.138
2471	0.0321	0.2860	0.0234	0.0406	0.2800	0.1736	0.0682	0.245
2472	0.0933	0.2711	0.0479	0.0803	0.3285	0.2982	0.2095	-0.048
2473	0.0744	0.2752	0.0404	0.0681	0.3143	0.2609	0.1662	0.027
2474	0.0556	0.2792	0.0328	0.0559	0.3001	0.2237	0.1229	0.111
2475	0.0367	0.2833	0.0253	0.0437	0.2858	0.1864	0.0796	0.206
2476	0.0954	0.2701	0.0488	0.0817	0.3309	0.3038	0.2148	-0.059
2477	0.0777	0.2736	0.0417	0.0702	0.3180	0.2693	0.1741	0.008
2478	0.0599	0.2771	0.0346	0.0588	0.3050	0.2349	0.1334	0.082
2479	0.0421	0.2807	0.0274	0.0473	0.2920	0.2004	0.0927	0.167
2480	0.0979	0.2691	0.0498	0.0834	0.3335	0.3099	0.2207	-0.070
2481	0.0813	0.2721	0.0431	0.0727	0.3218	0.2785	0.1830	-0.012
2482	0.0648	0.2751	0.0365	0.0620	0.3101	0.2471	0.1453	0.054
2483	0.0482	0.2782	0.0299	0.0513	0.2985	0.2156	0.1075	0.127
2484	0.0670	0.2170	0.0354	0.0594	0.2521	0.2199	0.1492	-0.006
2485	0.0537	0.2316	0.0306	0.0518	0.2506	0.1967	0.1180	0.082
2486	0.0403	0.2462	0.0258	0.0441	0.2492	0.1735	0.0868	0.173
2487	0.0270	0.2608	0.0210	0.0364	0.2478	0.1503	0.0557	0.269
2488	0.0682	0.2143	0.0359	0.0602	0.2521	0.2228	0.1523	-0.019
2489	0.0555	0.2275	0.0313	0.0529	0.2506	0.2011	0.1227	0.062
2490	0.0428	0.2407	0.0267	0.0456	0.2492	0.1793	0.0931	0.146
2491	0.0302	0.2539	0.0222	0.0383	0.2478	0.1576	0.0635	0.234
2492	0.0697	0.2115	0.0364	0.0610	0.2521	0.2260	0.1559	-0.033
2493	0.0577	0.2234	0.0321	0.0541	0.2507	0.2058	0.1280	0.041
2494	0.0457	0.2352	0.0278	0.0473	0.2493	0.1857	0.1002	0.117
2495	0.0338	0.2470	0.0235	0.0404	0.2479	0.1656	0.0724	0.197
2496	0.0713	0.2088	0.0370	0.0620	0.2522	0.2294	0.1599	-0.047
2497	0.0602	0.2193	0.0330	0.0556	0.2509	0.2111	0.1341	0.019
2498	0.0490	0.2297	0.0290	0.0492	0.2496	0.1927	0.1083	0.088
2499	0.0379	0.2402	0.0249	0.0428	0.2482	0.1743	0.0825	0.159
2500	0.0954	0.2863	0.0487	0.0898	0.3468	0.3172	0.2162	-0.051
2501	0.0776	0.2979	0.0415	0.0823	0.3418	0.2894	0.1763	0.015
2502	0.0598	0.3096	0.0343	0.0748	0.3367	0.2616	0.1364	0.084
2503	0.0420	0.3212	0.0271	0.0674	0.3317	0.2339	0.0965	0.157
2504	0.0971	0.2837	0.0493	0.0905	0.3474	0.3212	0.2206	-0.062
2505	0.0802	0.2941	0.0425	0.0835	0.3426	0.2955	0.1829	-0.002
2506	0.0632	0.3044	0.0357	0.0764	0.3379	0.2698	0.1452	0.060
2507	0.0463	0.3148	0.0288	0.0693	0.3331	0.2440	0.1074	0.127
2508	0.0991	0.2812	0.0501	0.0914	0.3481	0.3256	0.2256	-0.073
2509	0.0831	0.2904	0.0437	0.0848	0.3437	0.3020	0.1903	-0.020
2510	0.0672	0.2995	0.0372	0.0781	0.3393	0.2784	0.1550	0.036
2511	0.0512	0.3086	0.0308	0.0715	0.3348	0.2548	0.1198	0.095
2512	0.1013	0.2789	0.0510	0.0924	0.3488	0.3301	0.2311	-0.084
2513	0.0865	0.2868	0.0450	0.0863	0.3448	0.3088	0.1986	-0.037
2514	0.0717	0.2947	0.0390	0.0801	0.3408	0.2875	0.1660	0.012
2515	0.0568	0.3027	0.0330	0.0740	0.3368	0.2662	0.1335	0.064
2516	0.1039	0.2766	0.0520	0.0935	0.3497	0.3349	0.2371	-0.095
2517	0.0903	0.2834	0.0465	0.0879	0.3461	0.3160	0.2076	-0.054
2518	0.0767	0.2902	0.0410	0.0823	0.3425	0.2971	0.1782	-0.012
2519	0.0632	0.2970	0.0355	0.0767	0.3388	0.2782	0.1487	0.033
2520	0.0708	0.2299	0.0369	0.0699	0.2703	0.2416	0.1598	-0.025
2521	0.0595	0.2508	0.0328	0.0675	0.2780	0.2293	0.1339	0.045
2522	0.0481	0.2718	0.0288	0.0651	0.2857	0.2170	0.1080	0.112
2523	0.0367	0.2928	0.0247	0.0627	0.2935	0.2047	0.0821	0.177
2524	0.0719	0.2257	0.0373	0.0702	0.2686	0.2433	0.1626	-0.038
2525	0.0611	0.2445	0.0334	0.0679	0.2755	0.2318	0.1381	0.027
2526	0.0503	0.2634	0.0295	0.0656	0.2823	0.2203	0.1136	0.089
2527	0.0395	0.2823	0.0257	0.0633	0.2891	0.2089	0.0892	0.150
2528	0.0732	0.2215	0.0377	0.0705	0.2670	0.2451	0.1658	-0.050
2529	0.0630	0.2384	0.0341	0.0683	0.2730	0.2345	0.1429	0.008
2530	0.0528	0.2552	0.0304	0.0662	0.2790	0.2239	0.1200	0.065
2531	0.0426	0.2720	0.0268	0.0640	0.2850	0.2134	0.0971	0.121
2532	0.0746	0.2175	0.0382	0.0708	0.2654	0.2470	0.1693	-0.063
2533	0.0652	0.2323	0.0348	0.0688	0.2706	0.2374	0.1482	-0.011
2534	0.0557	0.2471	0.0314	0.0668	0.2758	0.2278	0.1271	0.041
2535	0.0462	0.2619	0.0280	0.0648	0.2810	0.2182	0.1060	0.091
2536	0.0763	0.2136	0.0388	0.0711	0.2639	0.2490	0.1732	-0.077
2537	0.0676	0.2264	0.0357	0.0693	0.2683	0.2404	0.1540	-0.030
2538	0.0589	0.2392	0.0326	0.0675	0.2728	0.2319	0.1349	0.016
2539	0.0503	0.2521	0.0295	0.0657	0.2772	0.2233	0.1157	0.061
2540	0.0953	0.2822	0.0486	0.0896	0.3401	0.3082	0.2116	-0.044
2541	0.0775	0.2918	0.0415	0.0820	0.3317	0.2760	0.1693	0.028
2542	0.0597	0.3014	0.0343	0.0744	0.3234	0.2437	0.1271	0.106
2543	0.0419	0.3110	0.0271	0.0668	0.3150	0.2115	0.0848	0.191
2544	0.0971	0.2801	0.0493	0.0903	0.3413	0.3127	0.2161	-0.055
2545	0.0801	0.2886	0.0425	0.0832	0.3335	0.2828	0.1760	0.010
2546	0.0631	0.2972	0.0356	0.0760	0.3258	0.2528	0.1360	0.081
2547	0.0462	0.3057	0.0288	0.0688	0.3180	0.2228	0.0960	0.157
2548	0.0990	0.2780	0.0501	0.0912	0.3426	0.3176	0.2211	-0.066
2549	0.0831	0.2856	0.0437	0.0845	0.3355	0.2900	0.1837	-0.008
2550	0.0671	0.2931	0.0372	0.0778	0.3283	0.2625	0.1462	0.055
2551	0.0511	0.3006	0.0308	0.0710	0.3212	0.2349	0.1087	0.123
2552	0.1013	0.2761	0.0510	0.0922	0.3440	0.3228	0.2268	-0.078
2553	0.0864	0.2826	0.0450	0.0860	0.3375	0.2978	0.1922	-0.026
2554	0.0716	0.2892	0.0390	0.0798	0.3311	0.2728	0.1576	0.029
2555	0.0567	0.2957	0.0330	0.0735	0.3246	0.2479	0.1229	0.088
2556	0.1038	0.2742	0.0520	0.0933	0.3454	0.3282	0.2331	-0.090
2557	0.0903	0.2798	0.0465	0.0877	0.3397	0.3060	0.2016	-0.045
2558	0.0767	0.2854	0.0410	0.0820	0.3340	0.2837	0.1702	0.003
2559	0.0631	0.2910	0.0355	0.0763	0.3282	0.2615	0.1387	0.053
2560	0.0708	0.2262	0.0369	0.0697	0.2645	0.2336	0.1554	-0.016
2561	0.0594	0.2453	0.0328	0.0672	0.2692	0.2173	0.1273	0.061
2562	0.0480	0.2644	0.0287	0.0647	0.2740	0.2009	0.0993	0.136
2563	0.0366	0.2836	0.0247	0.0622	0.2788	0.1846	0.0712	0.211
2564	0.0719	0.2224	0.0373	0.0700	0.2633	0.2358	0.1584	-0.029
2565	0.0611	0.2396	0.0334	0.0676	0.2675	0.2205	0.1318	0.042
2566	0.0502	0.2569	0.0295	0.0652	0.2717	0.2053	0.1052	0.112
2567	0.0394	0.2741	0.0256	0.0628	0.2759	0.1901	0.0786	0.181
2568	0.0732	0.2187	0.0377	0.0703	0.2623	0.2381	0.1617	-0.043
2569	0.0629	0.2341	0.0340	0.0681	0.2659	0.2241	0.1368	0.022
2570	0.0527	0.2495	0.0304	0.0658	0.2696	0.2100	0.1119	0.086
2571	0.0425	0.2649	0.0267	0.0636	0.2732	0.1960	0.0870	0.149
2572	0.0746	0.2150	0.0382	0.0706	0.2612	0.2406	0.1655	-0.056
2573	0.0651	0.2286	0.0348	0.0685	0.2644	0.2279	0.1424	0.002
2574	0.0556	0.2422	0.0314	0.0665	0.2675	0.2151	0.1194	0.059
2575	0.0461	0.2557	0.0280	0.0644	0.2707	0.2023	0.0964	0.117
2576	0.0762	0.2115	0.0388	0.0710	0.2603	0.2433	0.1696	-0.070
2577	0.0675	0.2232	0.0357	0.0691	0.2629	0.2319	0.1487	-0.019
2578	0.0589	0.2350	0.0325	0.0672	0.2656	0.2205	0.1278	0.032
2579	0.0502	0.2468	0.0294	0.0653	0.2682	0.2090	0.1068	0.083
2580	0.0954	0.2863	0.0487	0.0898	0.3449	0.3130	0.2141	-0.045
2581	0.0776	0.2979	0.0415	0.0823	0.3388	0.2831	0.1731	0.025
2582	0.0598	0.3096	0.0343	0.0748	0.3328	0.2533	0.1321	0.100
2583	0.0420	0.3212	0.0271	0.0674	0.3268	0.2234	0.0911	0.180
2584	0.0971	0.2837	0.0493	0.0905	0.3456	0.3173	0.2185	-0.056
2585	0.0802	0.2941	0.0425	0.0835	0.3400	0.2896	0.1797	0.008
2586	0.0632	0.3044	0.0357	0.0764	0.3344	0.2618	0.1409	0.075
2587	0.0463	0.3148	0.0288	0.0693	0.3287	0.2341	0.1021	0.147
2588	0.0991	0.2812	0.0501	0.0914	0.3465	0.3219	0.2235	-0.067
2589	0.0831	0.2904	0.0437	0.0848	0.3413	0.2964	0.1872	-0.010
2590	0.0672	0.2995	0.0372	0.0781	0.3361	0.2710	0.1510	0.050
2591	0.0512	0.3086	0.0308	0.0715	0.3309	0.2456	0.1147	0.114
2592	0.1013	0.2789	0.0510	0.0924	0.3474	0.3267	0.2291	-0.079
2593	0.0865	0.2868	0.0450	0.0863	0.3427	0.3037	0.1956	-0.029
2594	0.0717	0.2947	0.0390	0.0801	0.3380	0.2807	0.1621	0.024
2595	0.0568	0.3027	0.0330	0.0740	0.3332	0.2577	0.1286	0.080
2596	0.0708	0.2299	0.0369	0.0699	0.2686	0.2379	0.1577	-0.017
2597	0.0595	0.2508	0.0328	0.0675	0.2755	0.2237	0.1309	0.057
2598	0.0481	0.2718	0.0288	0.0651	0.2823	0.2095	0.1040	0.129
2599	0.0367	0.2928	0.0247	0.0627	0.2892	0.1953	0.0771	0.200
2600	0.0719	0.2257	0.0373	0.0702	0.2671	0.2398	0.1606	-0.030
2601	0.0611	0.2445	0.0334	0.0679	0.2731	0.2266	0.1352	0.038
2602	0.0503	0.2634	0.0295	0.0656	0.2792	0.2133	0.1097	0.105
2603	0.0395	0.2823	0.0257	0.0633	0.2853	0.2001	0.0843	0.170
2604	0.0732	0.2215	0.0377	0.0705	0.2656	0.2418	0.1639	-0.044
2605	0.0630	0.2384	0.0341	0.0683	0.2709	0.2297	0.1401	0.019
2606	0.0528	0.2552	0.0304	0.0662	0.2762	0.2175	0.1163	0.080
2607	0.0426	0.2720	0.0268	0.0640	0.2816	0.2053	0.0925	0.140
2608	0.0746	0.2175	0.0382	0.0708	0.2642	0.2441	0.1675	-0.058
2609	0.0652	0.2323	0.0348	0.0688	0.2688	0.2330	0.1455	-0.001
2610	0.0557	0.2471	0.0314	0.0668	0.2734	0.2219	0.1236	0.054
2611	0.0462	0.2619	0.0280	0.0648	0.2780	0.2108	0.1016	0.108
2612	0.0954	0.2907	0.0487	0.0900	0.3500	0.3184	0.2172	-0.046
2613	0.0777	0.3045	0.0415	0.0826	0.3466	0.2913	0.1777	0.022
2614	0.0599	0.3184	0.0343	0.0753	0.3431	0.2642	0.1383	0.093
2615	0.0421	0.3322	0.0272	0.0679	0.3397	0.2370	0.0988	0.167
2616	0.0971	0.2876	0.0493	0.0907	0.3503	0.3224	0.2215	-0.057
2617	0.0802	0.2999	0.0425	0.0838	0.3470	0.2973	0.1843	0.004
2618	0.0633	0.3122	0.0357	0.0768	0.3437	0.2721	0.1470	0.069
2619	0.0464	0.3245	0.0289	0.0698	0.3404	0.2470	0.1097	0.136
2620	0.0991	0.2847	0.0501	0.0916	0.3507	0.3267	0.2265	-0.069
2621	0.0832	0.2955	0.0437	0.0851	0.3475	0.3036	0.1916	-0.014
2622	0.0673	0.3063	0.0373	0.0785	0.3444	0.2806	0.1568	0.044
2623	0.0513	0.3171	0.0308	0.0720	0.3413	0.2576	0.1220	0.104
2624	0.1014	0.2818	0.0510	0.0926	0.3511	0.3311	0.2319	-0.080
2625	0.0866	0.2913	0.0450	0.0865	0.3482	0.3104	0.1998	-0.032
2626	0.0718	0.3007	0.0390	0.0805	0.3454	0.2896	0.1677	0.019
2627	0.0569	0.3101	0.0331	0.0744	0.3425	0.2688	0.1356	0.071
2628	0.0709	0.2338	0.0369	0.0702	0.2731	0.2427	0.1606	-0.019
2629	0.0595	0.2568	0.0328	0.0678	0.2823	0.2310	0.1352	0.053
2630	0.0482	0.2798	0.0288	0.0655	0.2914	0.2192	0.1098	0.121
2631	0.0368	0.3028	0.0247	0.0632	0.3005	0.2075	0.0843	0.187
2632	0.0720	0.2292	0.0373	0.0704	0.2711	0.2443	0.1634	-0.032
2633	0.0612	0.2498	0.0334	0.0682	0.2792	0.2334	0.1394	0.034
2634	0.0504	0.2704	0.0296	0.0660	0.2873	0.2224	0.1153	0.097
2635	0.0396	0.2911	0.0257	0.0638	0.2954	0.2115	0.0913	0.158
2636	0.0732	0.2246	0.0377	0.0707	0.2692	0.2460	0.1666	-0.046
2637	0.0631	0.2429	0.0341	0.0686	0.2763	0.2359	0.1441	0.015
2638	0.0529	0.2613	0.0304	0.0666	0.2834	0.2259	0.1216	0.073
2639	0.0427	0.2796	0.0268	0.0645	0.2905	0.2158	0.0991	0.129
2640	0.0747	0.2201	0.0382	0.0710	0.2673	0.2479	0.1701	-0.059
2641	0.0652	0.2363	0.0348	0.0691	0.2735	0.2387	0.1493	-0.005
2642	0.0558	0.2524	0.0314	0.0672	0.2797	0.2295	0.1286	0.047
2643	0.0463	0.2685	0.0281	0.0653	0.2859	0.2204	0.1079	0.098
2644	0.0954	0.2884	0.0487	0.0899	0.3469	0.3146	0.2150	-0.043
2645	0.0776	0.3012	0.0415	0.0825	0.3419	0.2855	0.1745	0.027
2646	0.0598	0.3139	0.0343	0.0750	0.3368	0.2564	0.1339	0.101
2647	0.0420	0.3266	0.0272	0.0676	0.3318	0.2274	0.0934	0.179
2648	0.0971	0.2856	0.0493	0.0906	0.3475	0.3188	0.2194	-0.055
2649	0.0802	0.2969	0.0425	0.0836	0.3427	0.2918	0.1811	0.009
