ID,FMC,VEGTYPE,red_630_690,nir1_780_900,blue_450_520,green_530_610,nir2_1230_1250,swir1_1550_1750,swir2_2090_2350
350,219.6,grass,0.0693,0.3279,0.04,0.1024,0.3486,0.2621,0.1297
351,219.6,grass,0.0648,0.3026,0.035,0.0864,0.3396,0.2701,0.1421
352,219.6,grass,0.0605,0.309,0.0334,0.0873,0.3377,0.26,0.1291
353,219.4,grass,0.0599,0.2981,0.0332,0.0842,0.317,0.2275,0.1105
354,219.0,grass,0.0678,0.3272,0.0373,0.0962,0.3743,0.3301,0.1962
355,219.0,grass,0.0637,0.3087,0.0353,0.0907,0.3319,0.2469,0.1218
356,218.5,grass,0.0702,0.3414,0.04,0.1021,0.38,0.3186,0.1784
357,218.2,grass,0.057,0.3089,0.0319,0.0858,0.3269,0.2364,0.1094
358,218.2,grass,0.0771,0.3393,0.0447,0.109,0.3757,0.3112,0.1738
359,218.2,grass,0.0652,0.3381,0.0372,0.0976,0.369,0.2949,0.1543
360,217.9,grass,0.0552,0.3052,0.0312,0.0833,0.3139,0.214,0.0963
361,217.7,grass,0.0797,0.3271,0.0469,0.1105,0.3484,0.2629,0.1374
362,217.5,grass,0.0706,0.3193,0.0404,0.1006,0.3384,0.2493,0.1247
363,217.3,grass,0.0666,0.3134,0.0383,0.098,0.3225,0.2245,0.106
364,217.2,grass,0.0798,0.3358,0.046,0.11,0.3782,0.3244,0.1893
365,216.1,grass,0.0642,0.331,0.0378,0.0996,0.3364,0.2327,0.1064
366,215.6,grass,0.0597,0.3073,0.0334,0.0884,0.3228,0.2298,0.1072
367,215.4,grass,0.0772,0.3375,0.0441,0.1073,0.3816,0.33,0.19399999999999998
368,215.3,grass,0.0682,0.3193,0.0395,0.0997,0.32899999999999996,0.2309,0.1111
369,214.8,grass,0.0642,0.2994,0.035,0.0868,0.3276,0.2475,0.1261
370,214.3,grass,0.0776,0.3531,0.0458,0.1123,0.3949,0.3447,0.2074
371,214.3,grass,0.0721,0.3308,0.0415,0.1046,0.3601,0.2859,0.1498
372,214.3,grass,0.0727,0.342,0.0414,0.1044,0.387,0.3398,0.2033
373,214.1,grass,0.0739,0.3112,0.0415,0.1006,0.3379,0.2581,0.1345
374,213.9,grass,0.0547,0.3372,0.0314,0.0892,0.3574,0.2702,0.1284
375,213.8,grass,0.0644,0.3328,0.0379,0.1002,0.3411,0.2401,0.1106
376,213.7,grass,0.0632,0.3046,0.0354,0.0904,0.3193,0.2262,0.1091
377,213.3,grass,0.0698,0.32299999999999995,0.0394,0.1005,0.3529,0.2786,0.1444
378,213.3,grass,0.0571,0.3208,0.0328,0.0899,0.3287,0.2268,0.1006
379,213.2,grass,0.0717,0.3285,0.0426,0.1061,0.3372,0.2384,0.1145
380,213.0,grass,0.0691,0.335,0.0408,0.1044,0.3494,0.2555,0.1234
381,212.1,grass,0.0559,0.3384,0.032,0.09,0.3626,0.281,0.1379
382,212.1,grass,0.0677,0.312,0.0378,0.0953,0.3374,0.2552,0.1287
383,211.9,grass,0.0746,0.3208,0.0428,0.1044,0.3452,0.263,0.1355
384,211.6,grass,0.0732,0.3247,0.0413,0.1021,0.3587,0.2884,0.1546
385,211.5,grass,0.0624,0.3343,0.035,0.09300000000000001,0.3728,0.3119,0.171
386,211.4,grass,0.0782,0.3203,0.0456,0.1081,0.34,0.2533,0.131
387,211.1,grass,0.0613,0.3331,0.0348,0.0945,0.3603,0.2825,0.1422
388,210.6,grass,0.059000000000000004,0.3069,0.0326,0.0832,0.3369,0.2585,0.1288
389,210.3,grass,0.066,0.3034,0.0365,0.0924,0.3255,0.2403,0.1192
390,210.3,grass,0.0615,0.3063,0.0335,0.0844,0.3447,0.2782,0.146
391,210.1,grass,0.0673,0.3117,0.0381,0.0966,0.3291,0.2388,0.1167
392,210.1,grass,0.0742,0.3259,0.0437,0.1066,0.3394,0.2454,0.122
393,210.0,grass,0.0764,0.3327,0.0455,0.11,0.3497,0.2594,0.131
394,210.0,grass,0.0711,0.3195,0.0414,0.1029,0.3334,0.24,0.1172
395,209.8,grass,0.0692,0.3362,0.0401,0.1033,0.3625,0.2837,0.1455
396,209.7,grass,0.0667,0.2997,0.0367,0.091,0.3231,0.2392,0.1211
397,209.5,grass,0.0554,0.3495,0.0318,0.0919,0.3824,0.3208,0.1764
398,209.5,grass,0.07,0.3603,0.0413,0.1073,0.3969,0.3393,0.1969
399,209.5,grass,0.0719,0.3124,0.0405,0.0999,0.3374,0.2558,0.1306
400,209.5,grass,0.0692,0.3203,0.0384,0.0961,0.3562,0.2866,0.1527
401,209.4,grass,0.0804,0.3355,0.0464,0.1104,0.3769,0.3205,0.1853
402,209.1,grass,0.0692,0.318,0.0391,0.0996,0.3429,0.2615,0.1312
403,208.8,grass,0.0668,0.3153,0.0364,0.0912,0.3585,0.2996,0.1648
404,208.8,grass,0.071,0.3322,0.0419,0.1053,0.3478,0.2554,0.1251
405,208.2,grass,0.0733,0.3371,0.0441,0.1092,0.3479,0.2508,0.122
406,208.2,grass,0.0626,0.3224,0.036000000000000004,0.0947,0.3349,0.2379,0.1114
407,207.9,grass,0.0612,0.3374,0.0352,0.0965,0.3606,0.2784,0.1372
408,207.2,grass,0.0693,0.3266,0.0408,0.1028,0.3357,0.2365,0.1132
409,207.0,grass,0.0744,0.3225,0.0419,0.10300000000000001,0.3581,0.2911,0.1577
410,206.8,grass,0.0699,0.3032,0.0389,0.0955,0.3263,0.2425,0.1237
411,206.5,grass,0.0692,0.3463,0.04,0.1031,0.3793,0.3093,0.1672
412,206.4,grass,0.081,0.3298,0.0469,0.1104,0.3637,0.2935,0.1614
413,206.3,grass,0.0635,0.3353,0.037000000000000005,0.0995,0.3519,0.2606,0.1237
414,206.3,grass,0.0771,0.3509,0.0457,0.1118,0.3846,0.3168,0.1763
415,206.1,grass,0.0602,0.2972,0.0332,0.0857,0.3187,0.233,0.1116
416,206.0,grass,0.064,0.3079,0.0358,0.0925,0.3265,0.2372,0.1143
417,205.9,grass,0.0691,0.3495,0.040999999999999995,0.107,0.3756,0.2998,0.157
418,205.8,grass,0.0567,0.3164,0.0327,0.0898,0.3199,0.2146,0.09300000000000001
419,205.5,grass,0.0753,0.3298,0.0453,0.1098,0.3379,0.2394,0.11699999999999999
420,205.5,grass,0.0575,0.31,0.0322,0.0862,0.3301,0.2417,0.1131
421,205.0,grass,0.078,0.3493,0.0456,0.1115,0.3944,0.3508,0.2163
422,204.9,grass,0.0698,0.3318,0.0413,0.1045,0.3442,0.2481,0.1195
423,204.8,grass,0.0583,0.3018,0.0324,0.0855,0.3212,0.2327,0.1091
424,204.5,grass,0.0663,0.3172,0.0378,0.0966,0.3332,0.2407,0.1165
425,204.3,grass,0.0796,0.3109,0.0449,0.1046,0.3413,0.266,0.1442
426,204.2,grass,0.0675,0.3143,0.0373,0.0938,0.3474,0.2741,0.1428
427,204.0,grass,0.0683,0.3159,0.0379,0.095,0.3478,0.2726,0.1417
428,203.8,grass,0.062,0.3128,0.0337,0.086,0.3595,0.3103,0.1759
429,203.8,grass,0.0622,0.3066,0.0343,0.08800000000000001,0.3351,0.2565,0.128
430,203.6,grass,0.065,0.3184,0.0355,0.0918,0.3624,0.3105,0.1752
431,203.6,grass,0.0718,0.3415,0.0434,0.1092,0.3528,0.2562,0.1235
432,203.2,grass,0.0784,0.3175,0.0448,0.106,0.3465,0.2695,0.1436
433,203.2,grass,0.0734,0.3101,0.0408,0.0987,0.3402,0.2634,0.1389
434,202.6,grass,0.0673,0.3084,0.0364,0.0913,0.3503,0.29100000000000004,0.1586
435,202.4,grass,0.0756,0.3313,0.0435,0.1064,0.3649,0.2948,0.1594
436,201.9,grass,0.0799,0.3226,0.0456,0.1074,0.3572,0.287,0.1571
437,201.9,grass,0.0673,0.3201,0.0381,0.0982,0.345,0.2634,0.1313
438,201.6,grass,0.0799,0.3214,0.0466,0.1094,0.3467,0.2664,0.1405
439,201.4,grass,0.0575,0.3132,0.0331,0.091,0.3165,0.2117,0.091
440,200.0,grass,0.0657,0.3114,0.0363,0.0918,0.3411,0.2629,0.134
441,200.0,grass,0.0721,0.3343,0.0423,0.1066,0.3589,0.2786,0.1422
442,200.0,grass,0.0684,0.3061,0.037000000000000005,0.0907,0.3472,0.2842,0.154
443,200.0,grass,0.0645,0.3118,0.0367,0.0938,0.3256,0.2309,0.1108
444,200.0,grass,0.0677,0.355,0.0403,0.1061,0.3798,0.3018,0.1572
445,200.0,grass,0.0644,0.32799999999999996,0.0366,0.0968,0.3535,0.2726,0.1358
446,200.0,grass,0.0699,0.2916,0.0374,0.0884,0.3291,0.2605,0.141
447,200.0,grass,0.07,0.3215,0.0391,0.0993,0.3577,0.2927,0.1572
448,200.0,grass,0.0748,0.3242,0.0433,0.1056,0.349,0.2674,0.1379
449,200.0,grass,0.0753,0.3408,0.0449,0.1105,0.3655,0.2853,0.1483
450,200.0,grass,0.0697,0.3141,0.0392,0.098,0.3406,0.2603,0.1324
451,200.0,grass,0.0714,0.3307,0.0396,0.0998,0.3803,0.3401,0.2072
452,200.0,grass,0.0606,0.3063,0.0339,0.0879,0.3259,0.2368,0.1132
453,200.0,grass,0.069,0.3161,0.0388,0.0986,0.3439,0.2662,0.135
454,200.0,grass,0.0778,0.3378,0.0447,0.1082,0.3798,0.3232,0.1859
455,200.0,grass,0.0812,0.3465,0.0473,0.1129,0.3964,0.3605,0.2303
456,198.5,grass,0.0786,0.3134,0.0445,0.1046,0.3443,0.2694,0.1449
457,198.2,grass,0.0695,0.3065,0.0381,0.0943,0.3401,0.2682,0.1406
458,197.9,grass,0.0802,0.318,0.0449,0.1053,0.3592,0.298,0.1679
459,197.2,grass,0.0594,0.3374,0.0341,0.0945,0.363,0.2847,0.1419
460,197.2,grass,0.0863,0.3247,0.0489,0.1111,0.3732,0.3249,0.1943
461,197.1,grass,0.0623,0.3099,0.0352,0.0923,0.3253,0.2326,0.1091
462,196.4,grass,0.073,0.3197,0.0413,0.1016,0.3492,0.2726,0.1423
