ID,FMC
198,254.7
199,254.5
200,254.5
201,253.8
202,253.8
203,253.2
204,253
205,252.4
206,251.7
207,251.6
208,250.8
209,250.7
210,250
211,249
212,248.9
213,248.6
214,247.7
215,247.6
216,247.5
217,247.5
218,246.9
219,246.7
220,245.5
221,245.5
222,245.5
223,245.3
224,245
225,244.9
226,244.8
227,244.7
228,244.6
229,244.4
230,244
231,243.9
232,243.8
233,243.8
234,243.6
235,243.5
236,243.3
237,242.9
238,242.9
239,242.4
240,242.1
241,242.1
242,242
243,241.9
244,241.2
245,240.9
246,240.9
247,240.6
248,240.6
249,240
250,239.7
251,238.9
252,238.8
253,238.5
254,238.5
255,238.1
256,237.3
257,237
258,237
259,236.8
260,236.7
261,236.5
262,236.4
263,236.4
264,236.2
265,236.2
266,236.1
267,235.9
268,235.5
269,235.1
270,234.8
271,234.6
272,234.5
273,233.9
274,233.8
275,233.3
276,233.3
277,232.9
278,232.8
279,232.8
280,232.6
281,232.4
282,232.1
283,232.1
284,231.3
285,231
286,230.8
287,230.6
288,230.2
289,230.2
290,230.2
291,230
292,230
293,229.8
294,229.7
295,229.6
296,229.6
297,229.4
298,229.3
299,229.3
300,229.2
301,228.8
302,228.8
303,228.8
304,228.6
305,228.3
306,228.2
307,228.1
308,227.8
309,227.7
310,227.5
311,226.7
312,226.3
313,226.3
314,226.3
315,226
316,226
317,225.9
318,225.9
319,225.9
320,225.9
321,225.9
322,225.4
323,225
324,225
325,225
326,225
327,225
328,225
329,224.7
330,224.3
331,223.9
332,223.5
333,223.4
334,223.3
335,223.2
336,222.9
337,222.5
338,222.5
339,222.4
340,222.2
341,221.9
342,221.7
343,221.4
344,221.2
345,221.1
346,220.6
347,220.4
348,220
349,219.7
350,219.6
351,219.6
352,219.6
353,219.4
354,219
355,219
356,218.5
357,218.2
358,218.2
359,218.2
360,217.9
361,217.7
362,217.5
363,217.3
364,217.2
365,216.1
366,215.6
367,215.4
368,215.3
369,214.8
370,214.3
371,214.3
372,214.3
373,214.1
374,213.9
375,213.8
376,213.7
377,213.3
378,213.3
379,213.2
380,213
381,212.1
382,212.1
383,211.9
384,211.6
385,211.5
386,211.4
387,211.1
388,210.6
389,210.3
390,210.3
391,210.1
392,210.1
393,210
394,210
395,209.8
396,209.7
397,209.5
398,209.5
399,209.5
400,209.5
401,209.4
402,209.1
403,208.8
404,208.8
405,208.2
406,208.2
407,207.9
408,207.2
409,207
410,206.8
411,206.5
412,206.4
413,206.3
414,206.3
415,206.1
416,206
417,205.9
418,205.8
419,205.5
420,205.5
421,205
422,204.9
423,204.8
424,204.5
425,204.3
426,204.2
427,204
428,203.8
429,203.8
430,203.6
431,203.6
432,203.2
433,203.2
434,202.6
435,202.4
436,201.9
437,201.9
438,201.6
439,201.4
440,200
441,200
442,200
443,200
444,200
445,200
446,200
447,200
448,200
449,200
450,200
451,200
452,200
453,200
454,200
455,200
456,198.5
457,198.2
458,197.9
459,197.2
460,197.2
461,197.1
462,196.4
463,196.1
464,196
465,195.7
466,195.6
467,195.5
468,194.3
469,194.2
470,194
471,193.8
472,193.3
473,193.1
474,192.9
475,192.8
